# G009 P3 typed direct-delta candidate-affecting branch inventory delta review
# baseline_head	5e14e75862f0d194f4d3b7abcbd4ccfd4d5b53af
# baseline_manifest_source	HEAD:src/test/resources/org/apache/sysds/hops/fedplanner/placement/candidate-affecting-branches.tsv
# baseline_manifest_sha256	4533af7d6ba477bb56832a447a08a017342b63c47fa6238ba202344b084b0638
# final_working_tree_head	5e14e75862f0d194f4d3b7abcbd4ccfd4d5b53af
# final_candidate_affecting_branch_scanner_sha256	4232543c3402a820b1ae0288318abf44709a70b6508be475450224715d6000ab
# final_neutral_placement_graph_builder_sha256	9795ff423591728e7892fb4064fb8ce1d98a60e85536859fac3554edd7ec16c0
# final_candidate_closure_dependencies_sha256	cd65498f6b27aa1b58c7befb101943d876942a1d30bf311f530380048db44b11
# final_neutral_placement_fixed_point_test_sha256	692ee0056918badde5299f10bfc815c5fef679044ef0a538e3d6d5fe4f7e7f31
# final_candidate_closure_dependencies_test_sha256	d3215a4c4c615f383eba5eba3f4ad6ded4e2ee12f415bb0554a171d823660093
# final_manifest_sha256	be659bfb5aee39ac018008b1a2794202ee8cb53fc6d34b85d2a90b8b6245ee5c
# comparison	tracked HEAD manifest versus exact scanner output from final P3 Patch A working tree, including CandidateClosureDependencies.java
# pairing_rule	Pair exact file/kind/method/snippet digest first; then classify identical branch ID/file/kind/method with a changed digest as modified; remaining rows are assigned by owning P3 source, method, and branch kind.
# modified_predicate_policy	P3_DIRECT_DELTA_MODIFIED_PREDICATE requires identical branch identity and a different subtree digest.
# total_removed	40
# total_added	127
# total_delta	167
# count	ADDED	P3_DIRECT_DELTA_METRICS	3
# count	ADDED	P3_DIRECT_DELTA_MODIFIED_PREDICATE	5
# count	ADDED	P3_DIRECT_DELTA_SHADOW	4
# count	ADDED	P3_TYPED_DIRECT_DELTA_SCHEDULING	115
# count	REMOVED	P3_DIRECT_DELTA_MODIFIED_PREDICATE	5
# count	REMOVED	P3_TYPED_DIRECT_DELTA_SCHEDULING	35
#
direction	id	file	line_start	line_end	kind	method	classification	counterpart_id	snippet_sha256
REMOVED	BR-5bebc12a5c3f627f	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	2915	2915	MERGE	changedCandidateOccurrences	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	8fae81ca4ec7748d617ec18cf52bbee0c0485fa442627cf4c3a46bd24a1650ba
REMOVED	BR-3dae92f127eb6fa2	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	2917	2920	ENHANCED_FOR	changedCandidateOccurrences	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	ff6d546b13bba6106297de58ebdd3b7d3dc01700015032b651eea7e1e8a63ea1
REMOVED	BR-044bf5030edf2378	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	2918	2920	IF	changedCandidateOccurrences	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	1f200e8dd5efeeac1825eb4171872782aa4820e892966d37ff482e2ec7034b97
REMOVED	BR-8c74f3d0e92fa789	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	2921	2921	RETURN	changedCandidateOccurrences	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	2ee9dcc6a0e16a593ffa90c22ffd1bd3cd6d3a5f80a6937656ba26a0ceae0889
REMOVED	BR-e8a78470395c34b6	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	2932	2933	IF	affectedDirectClosureOccurrences	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	f57b4fd96df9fa5a6fd6940bdb5a964f8de55a56d04ab0854e84ec459509e2bf
REMOVED	BR-224ade860e8f83a3	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	2933	2933	RETURN	affectedDirectClosureOccurrences	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	c75a0e257a1622a498b8e0fc40af6e2b2a0f1f3b916fc198261716fe6a8cebc9
REMOVED	BR-0ed49a18966bb077	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	2935	2936	ENHANCED_FOR	affectedDirectClosureOccurrences	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	93822a2e4e8b42809ef709f68598ad9405b6a69f4f48312c2616d7a0e8ac92c0
REMOVED	BR-aeb69b93ba624d6b	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	2937	2939	ENHANCED_FOR	affectedDirectClosureOccurrences	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	5a82b2affc7955433d136c0b9571b5c310c1655bb74d4ecc5fe6245f3de2e4ef
REMOVED	BR-d8f9acf1ddba39a6	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	2938	2939	ENHANCED_FOR	affectedDirectClosureOccurrences	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	26dfb1ef1d71c0826cf0e5c1febda054ffe9e20f050be1889cedceb16a0da107
REMOVED	BR-53017fd5e2017163	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	2940	2946	ENHANCED_FOR	affectedDirectClosureOccurrences	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	f12a101092abc71532264143613eddec2a6c9c5b6b7c2d13cb65175bd90f15d5
REMOVED	BR-665a95899b1cef7f	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	2941	2946	ENHANCED_FOR	affectedDirectClosureOccurrences	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	a8b8131268f74f240454d0ebe967500aadbef05fa3d781daee931f28b7e416e1
REMOVED	BR-cc7d04e649f27434	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	2942	2946	ENHANCED_FOR	affectedDirectClosureOccurrences	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	23e776e09ae8874caaa2f6e095e5099c3f788011c3d1216ea109e7068cbd1d6b
REMOVED	BR-c220146194fe0416	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	2943	2946	ENHANCED_FOR	affectedDirectClosureOccurrences	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	fcc5ed6201435828a76adfde79c5ee0e1ab7a767be05fcb44e3e45e4625aeee4
REMOVED	BR-1449d0a8446382a0	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	2944	2946	ENHANCED_FOR	affectedDirectClosureOccurrences	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	841caa5c7e3b7035fe8a0879348e9e82f5b9e7d5122a7ae839d45ccbd636cb9a
REMOVED	BR-5f76fe5b357f6e7a	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	2948	2949	ENHANCED_FOR	affectedDirectClosureOccurrences	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	3a5e24e0153fd2d9c5fa6f7ff9a24623f4a98ef0cf97d1059370e7dba293cf1f
REMOVED	BR-5ffd9990c9d7bffa	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	2949	2949	MERGE	affectedDirectClosureOccurrences	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	21745dbdd99dfc785b781dcf1f12061d0959153f805296a40cfd35095918a600
REMOVED	BR-12f7461f6318bf52	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	2951	2953	ENHANCED_FOR	affectedDirectClosureOccurrences	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	e85bf8e046bfc6982a77e8901409c9be4a56c36a65bf1e0fd8e1db3da940b272
REMOVED	BR-f7842c311b72f953	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	2952	2953	ENHANCED_FOR	affectedDirectClosureOccurrences	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	429f55dbcc54f866cb22a8bcfe3f0a8ff9e8454448119099a38c1a2bff62c86f
REMOVED	BR-89cd6b50d5597c8b	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	2957	2959	ENHANCED_FOR	affectedDirectClosureOccurrences	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	a76308bac169e220999775bc2a197e18eaa6ea622cf4091ce2f10de5aaac4559
REMOVED	BR-a6ff64edb8af9f49	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	2958	2959	IF	affectedDirectClosureOccurrences	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	67061848c689ebfc87786a70f2b4cb056bffe128fea248c9f8459dfc77db00f0
REMOVED	BR-a3b084a20c4daf0f	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	2960	2968	WHILE	affectedDirectClosureOccurrences	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	9e9ba9821c3cb17639e2b959f7ad896475ba7a5b95aaf01479406d5eb11572bf
REMOVED	BR-1847fc1783cdf6ff	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	2962	2964	ENHANCED_FOR	affectedDirectClosureOccurrences	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	31a016554036c837105b5e81ac584e45e5a3ed315e692e75902eb2fcc1a0c5e7
REMOVED	BR-a4778ea1460c462d	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	2963	2964	IF	affectedDirectClosureOccurrences	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	7c1c08d60b97ac28b8c2ebb3b5a2b485e0810446c9c4e6f0bab4e88074ab7ace
REMOVED	BR-62d362817546fea5	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	2965	2967	ENHANCED_FOR	affectedDirectClosureOccurrences	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	2c2e4094218a5cae5908da4b6d634b58f8da28f2a709ef42cbe2119add9e9d06
REMOVED	BR-cea5e9357325d4f7	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	2966	2967	IF	affectedDirectClosureOccurrences	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	cd54b4f5550e9767ed82924ccdae0c86e40d80701b8fad14a4640c410b921420
REMOVED	BR-7e48ca59b3e3a9f6	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	2969	2969	RETURN	affectedDirectClosureOccurrences	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	67e52c3ba27016e6b27b5c33fae98c3bd0179220f10ba3dacb191bbf6a5b7925
REMOVED	BR-f252b50fcf14f4e5	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	2974	2974	MERGE	addIdentityAdjacency	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	d383995cd11c29a608f5005b59e2b1afce3998cfec1392d906edcd8c62ca38c8
REMOVED	BR-0c4c9ad493192e4f	src/main/java/org/apache/sysds/hops/fedplanner/placement/NeutralPlacementGraphBuilder.java	2975	2975	MERGE	addIdentityAdjacency	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	634e5161e1e4e63018dc525e89156857d5a87032f925061afa490c6c9e977fc5
ADDED	BR-aa3a045a6f1063ff	src/main/java/org/apache/sysds/hops/fedplanner/placement/CandidateClosureDependencies.java	52	52	RETURN	classifyForTesting	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	fc8baf600ed4deca5dc3f37cabf7cd1b8dba5ae5c0baef0a7c8149230e1fba95
ADDED	BR-790dda1fc3e8cc4b	src/main/java/org/apache/sysds/hops/fedplanner/placement/CandidateClosureDependencies.java	58	59	ENHANCED_FOR	scheduleForTesting	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	15612f6f58b15db3f7c4eda961c4ce74aa285a46f604273c22e177f88a6a2e81
ADDED	BR-a766c002fcbaaa34	src/main/java/org/apache/sysds/hops/fedplanner/placement/CandidateClosureDependencies.java	59	59	IF	scheduleForTesting	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	203ab349450a4b366a2f4d6db1afd4ee267cc81cb9adb41987368b58ebcc3815
ADDED	BR-70f491ea488b1f3d	src/main/java/org/apache/sysds/hops/fedplanner/placement/CandidateClosureDependencies.java	61	62	ENHANCED_FOR	scheduleForTesting	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	721708913162fb8b034f72233581ebeefd1e2b2bc48773c93802cee7ac670454
ADDED	BR-022d9f971df31e98	src/main/java/org/apache/sysds/hops/fedplanner/placement/CandidateClosureDependencies.java	62	62	ENHANCED_FOR	scheduleForTesting	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	5d24648ae7f3a6e5242b04a25b32e2abc6763904412229c22852dfff98f94f0c
ADDED	BR-1dad432f7f34ff08	src/main/java/org/apache/sysds/hops/fedplanner/placement/CandidateClosureDependencies.java	63	64	IF	scheduleForTesting	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	6f890e900c4cffdf8ea2f59c1abe41f764a6022bfa36811627928b07d9bf7fc0
ADDED	BR-00063f044bb75eae	src/main/java/org/apache/sysds/hops/fedplanner/placement/CandidateClosureDependencies.java	64	64	RETURN	scheduleForTesting	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	f035ce566c314882296a7dae074f615b2fa6ca1620da2974c45437318ffe47cc
ADDED	BR-ccf5a56db1f29bfd	src/main/java/org/apache/sysds/hops/fedplanner/placement/CandidateClosureDependencies.java	68	69	FILTER	scheduleForTesting	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	4e96f0a0bea96a1d3364ae8e1aecc5f9d621c4cfd3979d193efb790c0d273cd9
ADDED	BR-10d06a8cbbc17ccf	src/main/java/org/apache/sysds/hops/fedplanner/placement/CandidateClosureDependencies.java	71	71	SHORT_CIRCUIT	scheduleForTesting	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	4a23db8c764c161a4b166817abd73c2759cfdf94bca9012e21d43437ff1d7f1a
ADDED	BR-4ffcedc92f0780a0	src/main/java/org/apache/sysds/hops/fedplanner/placement/CandidateClosureDependencies.java	72	73	RETURN	scheduleForTesting	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	32b5491ae0f8d61654f4ad2f6977130d1c21cca996602047659bc345520e4582
ADDED	BR-5ec0981f6e856fa2	src/main/java/org/apache/sysds/hops/fedplanner/placement/CandidateClosureDependencies.java	72	72	TERNARY	scheduleForTesting	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	ce738799b76f925376fcda2ca0403197b7c2862b76a4973913b271ce2f7367c6
ADDED	BR-0942c7afd06a5ff5	src/main/java/org/apache/sysds/hops/fedplanner/placement/CandidateClosureDependencies.java	77	77	RETURN	aliasIndexStatsForTesting	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	f1ad7799afa820e3201ac92ac90cdb88fc82d41d978bce92f63c56e53273259a
ADDED	BR-7dce3a51e7179215	src/main/java/org/apache/sysds/hops/fedplanner/placement/CandidateClosureDependencies.java	86	86	MERGE	revision	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	e4298d5f3f169807a9c128eee243bdafe516bcad85bcf9124645132a58487daa
ADDED	BR-b2f459bb536e9a94	src/main/java/org/apache/sysds/hops/fedplanner/placement/CandidateClosureDependencies.java	87	87	MERGE	revision	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	68a2bb95a42eafff381a0baca87adde3b4b487c41aab62d679ee9cc629f16dfc
ADDED	BR-10d4b89576e7d207	src/main/java/org/apache/sysds/hops/fedplanner/placement/CandidateClosureDependencies.java	90	97	ENHANCED_FOR	revision	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	3cf0f8ac9c500e128be00043cbb3475b24b079cc1db555b0eee23d7067f83f80
ADDED	BR-8aa98376230c7149	src/main/java/org/apache/sysds/hops/fedplanner/placement/CandidateClosureDependencies.java	93	96	IF	revision	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	406b6bce8c4aee91d08861fc7bf4b52594aa15c378b156d8c045ad5860a54584
ADDED	BR-80c4de4c04c3814a	src/main/java/org/apache/sysds/hops/fedplanner/placement/CandidateClosureDependencies.java	98	99	IF	revision	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	f9185f3d0a3518ab07c3269a96e9bcb9c6bbb04828d0e921298bc0fbfc161bdf
ADDED	BR-aef8ddf820389888	src/main/java/org/apache/sysds/hops/fedplanner/placement/CandidateClosureDependencies.java	99	99	RETURN	revision	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	8333cdf38d614d85be23bf5917783ac06fe9576d469be159ceabd27cf72736ea
ADDED	BR-a74171877af6ea20	src/main/java/org/apache/sysds/hops/fedplanner/placement/CandidateClosureDependencies.java	109	109	SHORT_CIRCUIT	revision	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	0d7f14a54a1107ac8c2d5f54c1f36f86d67941839e1ca77b5e133b4f57c23aea
ADDED	BR-aa36569e5a8eb777	src/main/java/org/apache/sysds/hops/fedplanner/placement/CandidateClosureDependencies.java	111	111	SHORT_CIRCUIT	revision	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	abe54b68d5f8edcbb3855ef16d46567d0874bc3679d1e350c63b2f74b4458e56
ADDED	BR-ec1591764cee4e8f	src/main/java/org/apache/sysds/hops/fedplanner/placement/CandidateClosureDependencies.java	111	111	SHORT_CIRCUIT	revision	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	aa31177f612e112af8387861e5496c4792b0af31d5c6e84f42b6e305333b15d8
ADDED	BR-09c360fc8efa5b07	src/main/java/org/apache/sysds/hops/fedplanner/placement/CandidateClosureDependencies.java	111	111	TERNARY	revision	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	cf781888d300c36fe9bddfbf4198185965297fc66860ab185c7880287be2a12c
ADDED	BR-8389096f6319ef5a	src/main/java/org/apache/sysds/hops/fedplanner/placement/CandidateClosureDependencies.java	112	113	RETURN	revision	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	9d51bad8590caaac75de90a0cfadd06ea9ff35dac554fcc0e7e6831d1e9b842b
ADDED	BR-025c605cd2bbad9d	src/main/java/org/apache/sysds/hops/fedplanner/placement/CandidateClosureDependencies.java	113	113	SHORT_CIRCUIT	revision	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	abe54b68d5f8edcbb3855ef16d46567d0874bc3679d1e350c63b2f74b4458e56
ADDED	BR-7908a8df93d4f29c	src/main/java/org/apache/sysds/hops/fedplanner/placement/CandidateClosureDependencies.java	113	113	SHORT_CIRCUIT	revision	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	aa31177f612e112af8387861e5496c4792b0af31d5c6e84f42b6e305333b15d8
ADDED	BR-3f5c6f823557e72e	src/main/java/org/apache/sysds/hops/fedplanner/placement/CandidateClosureDependencies.java	117	118	IF	classify	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	92a59f0c0ed85c97eb6ef00add8d4da390e3a06134ca4e1134df7d48920ac61f
ADDED	BR-a61d4db2acbe7e00	src/main/java/org/apache/sysds/hops/fedplanner/placement/CandidateClosureDependencies.java	118	118	RETURN	classify	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	40bc89ec1d3708ee9381c183e0bca70ed6a3e1b4d0d388e46ba21f6c0f24c3f9
ADDED	BR-45363ad4582ee3d0	src/main/java/org/apache/sysds/hops/fedplanner/placement/CandidateClosureDependencies.java	123	124	IF	classify	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	c7bf48ab1d8e6b7241a1c2484caf5196e2d299086ef3eec8c65dbd6ab66c0779
ADDED	BR-6349d47f0bffcd95	src/main/java/org/apache/sysds/hops/fedplanner/placement/CandidateClosureDependencies.java	124	124	RETURN	classify	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	48e0cd2bba9ab25b1892ad4135098cb554db88dcf00ab8f04029ab2256f317ab
ADDED	BR-10686c6f804138a4	src/main/java/org/apache/sysds/hops/fedplanner/placement/CandidateClosureDependencies.java	125	138	ENHANCED_FOR	classify	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	d093e15d356edc59b891beea97522d922f885b2c82477ab411834594979a35da
ADDED	BR-e42f71280a738b7d	src/main/java/org/apache/sysds/hops/fedplanner/placement/CandidateClosureDependencies.java	128	133	IF	classify	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	1a67b6bacfb9fcff1d9f2500a62c3d832b223ccc1d180bd1745d5ff8fc1e2c93
ADDED	BR-8f541343a3e55f81	src/main/java/org/apache/sysds/hops/fedplanner/placement/CandidateClosureDependencies.java	128	132	SHORT_CIRCUIT	classify	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	ae089eda74bcdaeb8480a01db0a5eae3b428c6f6b3c9ca0d8047b62f7d8f7dd6
ADDED	BR-c12728505067cd1a	src/main/java/org/apache/sysds/hops/fedplanner/placement/CandidateClosureDependencies.java	128	131	SHORT_CIRCUIT	classify	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	0c4f0d4ad83820f710c76acbacdc7eb461f4f317bce2e37c49848a5d8d7668bb
ADDED	BR-ceb9ae032726e386	src/main/java/org/apache/sysds/hops/fedplanner/placement/CandidateClosureDependencies.java	128	130	SHORT_CIRCUIT	classify	P3_TYPED_DIRECT_DELTA_SCHEDULING	-	a9215f4e2dfe23e63930c0d22d12e244327f1ed80b771fd2923369ec4bb49015
