# G009 R2 k-way canonical reference merge candidate-affecting branch inventory delta review
# baseline_head	5fc4c7987bb2941f30a0eca0ca09d4e9e9edb28e
# baseline_manifest_source	HEAD:src/test/resources/org/apache/sysds/hops/fedplanner/placement/candidate-affecting-branches.tsv
# baseline_manifest_sha256	1aa4453133bd20d13290be4419e31ff022e2ca12f654655f9a935e29fbb56336
# final_working_tree_head	5fc4c7987bb2941f30a0eca0ca09d4e9e9edb28e
# baseline_NeutralPlacementGraphBuilder_sha256	82c5a72ba89ce5446901a7e08a4ec214e71176912f67e0bc3944b77d65c0b92c
# final_NeutralPlacementGraphBuilder_sha256	82c5a72ba89ce5446901a7e08a4ec214e71176912f67e0bc3944b77d65c0b92c
# baseline_CandidateClosureDependencies_sha256	8c36ee6dfb43aef988f9f8bbf7bb6cfe13f02b61b505016c03b37f8ce693ff7b
# final_CandidateClosureDependencies_sha256	8c36ee6dfb43aef988f9f8bbf7bb6cfe13f02b61b505016c03b37f8ce693ff7b
# baseline_NativePlacementContinuity_sha256	fbb28e3b11080b1db8917b8b7d973d05d548aa92ae337e0c8c5c8494708d621a
# final_NativePlacementContinuity_sha256	ead707f14789ee8411742c8c3acf3d68687c71f338df865631a232c52b7c0752
# baseline_CandidateSelections_sha256	dbebdac384ee5de8ce6d97e86e2876a99cda83852eb75c0d5c23ac74252ab1f6
# final_CandidateSelections_sha256	dbebdac384ee5de8ce6d97e86e2876a99cda83852eb75c0d5c23ac74252ab1f6
# baseline_RelocationSelections_sha256	2d19553730af5ed88f37ecfe7bb40a0125e324cebaa5eef8e1230eb86bcfc597
# final_RelocationSelections_sha256	2d19553730af5ed88f37ecfe7bb40a0125e324cebaa5eef8e1230eb86bcfc597
# baseline_PlacementIdentity_sha256	fdd24217f8fe8f87b102cff8b4f515d110e3cb06c7925d7490fc62d80a40a20b
# final_PlacementIdentity_sha256	fdd24217f8fe8f87b102cff8b4f515d110e3cb06c7925d7490fc62d80a40a20b
# final_manifest_sha256	66c47dd73d00565102847bc7c8431afe1e7be5909d4a08510f6adc0fea8e1ffb
# comparison	tracked HEAD manifest versus exact scanner output from the current k-way merge working tree
# pairing_rule	pair identical branch ID/file/kind/method with changed exact subtree digest as MODIFIED_PREDICATE; then pair exact file/kind/method/digest in stable order as moved/renumbered; classify every remaining row by the owning implementation change
# modified_predicate_policy	a MODIFIED_PREDICATE pair requires identical branch identity and different exact scanner subtree digests
# total_removed	7
# total_added	26
# total_delta	33
# count	ADDED	R2_KWAY_CANONICAL_REFERENCE_MERGE	20
# count	ADDED	R2_KWAY_CANONICAL_REFERENCE_MERGE_MODIFIED_PREDICATE	6
# count	REMOVED	R2_KWAY_CANONICAL_REFERENCE_MERGE_MODIFIED_PREDICATE	6
# count	REMOVED	R2_REPLACED_CONCATENATE_THEN_CANONICALIZE	1
direction	id	file	line_start	line_end	kind	method	classification	counterpart_id	snippet_sha256
ADDED	BR-6dad554c2107e6a3	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	750	770	ENHANCED_FOR	computeDirectAcyclicSupport	R2_KWAY_CANONICAL_REFERENCE_MERGE_MODIFIED_PREDICATE	BR-6dad554c2107e6a3	ed427ff49caaae5c216cb0d9eedb7ec8553609dac4a18cb7876b68c3b4c38b08
ADDED	BR-43b960d27880d6ea	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	755	761	ENHANCED_FOR	computeDirectAcyclicSupport	R2_KWAY_CANONICAL_REFERENCE_MERGE_MODIFIED_PREDICATE	BR-43b960d27880d6ea	61bd01012c6fcf54a05821a94cd85429d3708554a835a5e06666c2ab25e6af22
ADDED	BR-ccacfe7883ecab6f	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	757	760	IF	computeDirectAcyclicSupport	R2_KWAY_CANONICAL_REFERENCE_MERGE_MODIFIED_PREDICATE	BR-ccacfe7883ecab6f	3e65b5b2ed3c144f2b363ef5bcc71d083ff6c8c9dafd943e77b778b538b93511
ADDED	BR-70e649c83045325c	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	993	1004	ENHANCED_FOR	mergeCanonicalReferenceGroups	R2_KWAY_CANONICAL_REFERENCE_MERGE	-	e006c46f1c4f01a2a544b70995045129160ebf4520476a6fc76d0feba914234c
ADDED	BR-566da018bfd9df02	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	997	1003	ENHANCED_FOR	mergeCanonicalReferenceGroups	R2_KWAY_CANONICAL_REFERENCE_MERGE	-	8c89354782ea7abb47dad2f9f52ae0bee4c32ac6d285e6961f37e410dc36092f
ADDED	BR-85da3c95856245da	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	999	1001	IF	mergeCanonicalReferenceGroups	R2_KWAY_CANONICAL_REFERENCE_MERGE	-	c5d67855b246d4a041fb33e76ef33fd37ccead86740c17c0ef3286b15ea1b437
ADDED	BR-4b3cd4ff11c3df1c	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	999	1000	SHORT_CIRCUIT	mergeCanonicalReferenceGroups	R2_KWAY_CANONICAL_REFERENCE_MERGE	-	71d18336e8fb412b0a21571a80c7853bb5c6e231a07cd9f044d7ce4043ac27a9
ADDED	BR-fac348cd2f5c1a18	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	999	999	SHORT_CIRCUIT	mergeCanonicalReferenceGroups	R2_KWAY_CANONICAL_REFERENCE_MERGE	-	c180288983f8796bfae8d9528141ee00824ab2b66b5856fb246341b18f89814c
ADDED	BR-8297d7e5d53fe998	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	1001	1001	PROJECTION	mergeCanonicalReferenceGroups	R2_KWAY_CANONICAL_REFERENCE_MERGE	-	e6ba7d5151936d1d4264ff0fc720e6debba9bd158ac18a310e53e448da7ef23f
ADDED	BR-b9dc36296a974f4a	src/main/java/org/apache/sysds/hops/fedplanner/placement/NativePlacementContinuity.java	1001	1001	RETURN	mergeCanonicalReferenceGroups	R2_KWAY_CANONICAL_REFERENCE_MERGE	-	e7c0a0013b61c25af488fdc5827d6196f37374b29833e110cb66b895fd6f5b6c
