hop,file,op,line,exec,placement,foutType,reason,childIDs,parentIDs,rewireChildIDs,rewireParentIDs,privacy,inputs,notes,guardDefaultIfUnknown
169,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
169,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
179,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
179,test_fedall.log,LiteralOp 0,119,CP,LOUT,none,NO_RULE,[],[184],[],[],null,[],[],<missing>
179,test_heuristic.log,LiteralOp 0,119,CP,LOUT,none,NO_RULE,[],[184],[],[],null,[],[],<missing>
180,test_cost.log,LiteralOp 0,119,CP,LOUT,none,NO_RULE,[],[185],[],[],PUBLIC,[],[],<missing>
180,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
180,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
184,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
184,test_fedall.log,dg(rand),120,CP,LOUT,none,NO_RULE,"[104, 179, 133, 134, 284, 110]",[185],[],[],null,"[null, null, null, null, null, null, null, null]",[],<missing>
184,test_heuristic.log,dg(rand),120,CP,LOUT,none,NO_RULE,"[104, 179, 133, 134, 284, 110]",[185],[],[],null,"[null, null, null, null, null, null, null, null]",[],<missing>
186,test_cost.log,TWrite B,121,CP,LOUT,none,NO_FED_INPUT,[185],[210],[],[210],PUBLIC,[null],[],<missing>
186,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
186,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
202,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
202,test_fedall.log,LiteralOp 1,122,CP,LOUT,none,NO_RULE,[],[203],[],[],null,[],[],<missing>
202,test_heuristic.log,LiteralOp 1,122,CP,LOUT,none,NO_RULE,[],[203],[],[],null,[],[],<missing>
210,test_cost.log,TRead B,128,CP,LOUT,none,NO_FED_INPUT,[186],"[215, 263, 267]",[186],[],PUBLIC,[],[],<missing>
210,test_fedall.log,TRead X,130,FED,FOUT,ROW,OK,[],"[214, 251]",[],[],null,[],[],<missing>
210,test_heuristic.log,TRead X,130,FED,FOUT,ROW,OK,[],"[214, 251]",[],[],null,[],[],<missing>
211,test_cost.log,TRead X,130,FED,FOUT,ROW,OK,[59],"[215, 252]",[59],[],PRIVATE_AGGREGATE,[],[],<missing>
211,test_fedall.log,TRead K,146,CP,LOUT,none,NO_RULE,[],"[233, 255, 259]",[],[],null,[],[],<missing>
211,test_heuristic.log,TRead K,146,CP,LOUT,none,NO_RULE,[],"[233, 255, 259]",[],[],null,[],[],<missing>
213,test_cost.log,TRead Y_indicator,148,CP,LOUT,none,NO_FED_INPUT,[108],[260],[108],[],PUBLIC,[],[],<missing>
213,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
213,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
214,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
214,test_fedall.log,ba(+*),132,FED,FOUT,ROW,OK,"[210, 209]",[223],[],[],null,"[ROW, null]",[],<missing>
214,test_heuristic.log,ba(+*),132,FED,FOUT,ROW,OK,"[210, 209]",[223],[],[],null,"[ROW, null]",[],<missing>
215,test_cost.log,ba(+*),132,FED,FOUT,ROW,OK,"[211, 210]",[224],[],[],PRIVATE_AGGREGATE_TO_PUBLIC,"[ROW, null]",[REPR_CHANGE_GUARD_PASS:,allow]
215,test_fedall.log,LiteralOp 1.0,133,CP,LOUT,none,NO_RULE,[],"[222, 234]",[],[],null,[],[],<missing>
215,test_heuristic.log,LiteralOp 1.0,133,CP,LOUT,none,NO_RULE,[],"[222, 234]",[],[],null,[],[],<missing>
