hop_id,name,op_code,allows_federated,result_ftype,reason_code,input_ftype_pattern,ftype_category,matrix_size
653,D,+,True,,BINARY_MIXED_NULL,ROW+NULL,,4000
653,D,+,True,ROW,FIRST_NON_NULL,ROW+NULL,ROW,4000
653,D,+,True,ROW,PROPAGATE_FROM_INPUT,ROW+NULL,ROW,4000
655,P,<=,True,,BINARY_SAME_FTYPE,ROW+ROW,,4000
655,P,<=,True,ROW,FIRST_NON_NULL,ROW+ROW,ROW,4000
655,P,<=,True,ROW,PROPAGATE_FROM_INPUT,ROW+ROW,ROW,4000
660,parsertemp402,==,False,,DISALLOWED_OP,NULL_x2,,4000
660,parsertemp402,==,False,,DISALLOWED_OP,NULL_x2,,4000
663,Y,+,False,,DISALLOWED_OP,NULL_x2,,1000
663,Y,+,False,,DISALLOWED_OP,NULL_x2,,1000
