type,op_code,allows_federated_count,allows_federated_sum,allows_federated_mean,ftype_category_<lambda>,reason_code_<lambda>,num_inputs_mean,num_inputs_std,matrix_size_mean,matrix_size_median
TernaryOp,-*,2,0,0.0,{'NULL': 2},"{'UNKNOWN_HOP_TYPE': 1, 'DISALLOWED_OP': 1}",3.0,0.0,341.0,341.0
TernaryOp,ctable,6,0,0.0,{'NULL': 6},"{'UNKNOWN_HOP_TYPE': 3, 'DISALLOWED_OP': 3}",3.667,1.862,2.0,1.0
TernaryOp,ifelse,2,0,0.0,{'NULL': 2},"{'UNKNOWN_HOP_TYPE': 1, 'DISALLOWED_OP': 1}",3.0,0.0,341.0,341.0
UnaryOp,castdtm,3,3,1.0,{'NULL': 3},"{'UNARY_ALLOWED': 1, 'UNKNOWN_HOP_TYPE': 1, 'PROPAGATE_FROM_INPUT': 1}",1.0,0.0,1.0,1.0
UnaryOp,castdts,18,18,1.0,{'NULL': 18},"{'UNARY_ALLOWED': 6, 'SCALAR_HOP': 6, 'PROPAGATE_FROM_INPUT': 6}",1.0,0.0,0.0,0.0
UnaryOp,castvti,3,3,1.0,{'NULL': 3},"{'UNARY_ALLOWED': 1, 'SCALAR_HOP': 1, 'PROPAGATE_FROM_INPUT': 1}",1.0,0.0,0.0,0.0
UnaryOp,log,2,0,0.0,{'NULL': 2},"{'UNARY_DISALLOWED_OP': 1, 'DISALLOWED_OP': 1}",1.0,0.0,341.0,341.0
UnaryOp,ncol,4,0,0.0,{'NULL': 4},"{'UNARY_METADATA_OP': 2, 'DISALLOWED_OP': 2}",1.0,0.0,0.5,0.5
UnaryOp,print,2,0,0.0,{'NULL': 2},"{'UNARY_DISALLOWED_OP': 1, 'DISALLOWED_OP': 1}",0.0,0.0,1.0,1.0
UnaryOp,round,4,0,0.0,{'NULL': 4},"{'UNARY_DISALLOWED_OP': 2, 'DISALLOWED_OP': 2}",1.0,0.0,341.0,341.0
UnaryOp,ucumk+,9,9,1.0,{'NULL': 9},"{'UNARY_ALLOWED': 3, 'UNKNOWN_HOP_TYPE': 3, 'PROPAGATE_FROM_INPUT': 3}",1.0,0.0,1560.667,341.0
