hop,file,op,line,exec,placement,foutType,reason,childIDs,parentIDs,rewireChildIDs,rewireParentIDs,privacy,inputs,notes,guardDefaultIfUnknown
599,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
599,test_fedall.log,m(list),70,CP,LOUT,none,NO_RULE,"[581, 584]",[600],[],[],null,"[null, null]",[],<missing>
599,test_heuristic.log,m(list),70,CP,LOUT,none,NO_RULE,"[581, 584]",[600],[],[],null,"[null, null]",[],<missing>
601,test_cost.log,m(list),71,CP,LOUT,none,NO_RULE,"[577, 586, 595, 600]",[603],[],[],PUBLIC,"[null, null, null, null]",[],<missing>
601,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
601,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
602,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
602,test_fedall.log,Fed X,73,FED,FOUT,ROW,OK,"[548, 600, 537]","[611, 719, 718]",[],[],null,"[null, null, null]",[],<missing>
602,test_heuristic.log,Fed X,73,FED,FOUT,ROW,OK,"[548, 600, 537]","[611, 719, 718]",[],[],null,"[null, null, null]",[],<missing>
613,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
613,test_fedall.log,LiteralOp target/testTemp/functions/privacy/fedplanning/FederatedLMPlanningTest/out/Z,92,CP,LOUT,none,NO_RULE,[],[619],[],[],null,[],[],<missing>
613,test_heuristic.log,LiteralOp target/testTemp/functions/privacy/fedplanning/FederatedLMPlanningTest/out/Z,92,CP,LOUT,none,NO_RULE,[],[619],[],[],null,[],[],<missing>
616,test_cost.log,LiteralOp :,94,CP,LOUT,none,NO_RULE,[],[620],[],[],PUBLIC,[],[],<missing>
616,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
616,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
618,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
618,test_fedall.log,"LiteralOp ,",95,CP,LOUT,none,NO_RULE,[],[619],[],[],null,[],[],<missing>
618,test_heuristic.log,"LiteralOp ,",95,CP,LOUT,none,NO_RULE,[],[619],[],[],null,[],[],<missing>
620,test_cost.log,PWrite B,96,CP,LOUT,none,NO_RULE,"[717, 614, 615, 616, 538, 619]",[],[],[],PUBLIC,"[null, null, null, null, null, null, null]",[],<missing>
620,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
620,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
626,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
626,test_fedall.log,LiteralOp 500.0,65,CP,LOUT,none,NO_RULE,[],"[585, 594]",[],[],null,[],[],<missing>
626,test_heuristic.log,LiteralOp 500.0,65,CP,LOUT,none,NO_RULE,[],"[585, 594]",[],[],null,[],[],<missing>
627,test_cost.log,LiteralOp 500.0,65,CP,LOUT,none,NO_RULE,[],"[586, 595]",[],[],PUBLIC,[],[],<missing>
627,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
627,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
716,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
716,test_fedall.log,b(solve),91,CP,LOUT,none,NO_RULE,"[717, 730]",[619],[],[],null,"[null, null]",[],<missing>
716,test_heuristic.log,b(solve),91,CP,LOUT,none,NO_RULE,"[717, 730]",[619],[],[],null,"[null, null]",[],<missing>
718,test_cost.log,b(+),82,CP,LOUT,none,NO_FED_INPUT,"[719, 722]",[717],[],[],PUBLIC,"[null, null]",[],<missing>
718,test_fedall.log,ba(+*),75,FED,LOUT,none,OK,"[719, 602]",[717],[],[],null,"[COL, ROW]",[],<missing>
718,test_heuristic.log,ba(+*),75,FED,LOUT,none,OK,"[719, 602]",[717],[],[],null,"[COL, ROW]",[],<missing>
719,test_cost.log,ba(+*),74,FED,LOUT,none,FOUT_NOT_SUPPORTED_BY_RUNTIME,"[720, 603]",[718],[],[],PRIVATE_AGGREGATE_TO_PUBLIC,"[COL, ROW]",[],<missing>
719,test_fedall.log,r(r'),74,FED,FOUT,COL,OK,[602],"[718, 730]",[],[],null,[ROW],[],<missing>
719,test_heuristic.log,r(r'),74,FED,FOUT,COL,OK,[602],"[718, 730]",[],[],null,[ROW],[],<missing>
720,test_cost.log,r(r'),73,FED,FOUT,COL,OK,[603],"[719, 731]",[],[],PRIVATE_AGGREGATE,[ROW],[INFO: axis flipped ROW↔COL; REPR_CHANGE_GUARD_PASS:,allow]
720,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
720,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
721,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
721,test_fedall.log,r(rdiag),82,CP,LOUT,none,NO_RULE,[734],[717],[],[],null,[null],[],<missing>
721,test_heuristic.log,r(rdiag),82,CP,LOUT,none,NO_RULE,[734],[717],[],[],null,[null],[],<missing>
722,test_cost.log,r(rdiag),81,CP,LOUT,none,NO_FED_INPUT,[735],[718],[],[],PUBLIC,[null],[],<missing>
